Entity,Code,Year,Population by broad age group - Sex: all - Age: 65+ - Variant: estimates,Population by broad age group - Sex: all - Age: 25-64 - Variant: estimates,Population by broad age group - Sex: all - Age: 15-24 - Variant: estimates,Population by broad age group - Sex: all - Age: 5-14 - Variant: estimates,Population by broad age group - Sex: all - Age: 0-4 - Variant: estimates
Afghanistan,AFG,1994,351474,4661269,2990439,4290181,3162197
Afghanistan,AFG,1995,374318,4926722,3160278,4570491,3387102
Afghanistan,AFG,1996,390768,5108509,3271165,4784826,3551332
Afghanistan,AFG,1997,406738,5289249,3376019,5010787,3706025
Afghanistan,AFG,1998,422732,5477241,3481786,5256811,3854565
Afghanistan,AFG,1999,440226,5686133,3598401,5532416,4005677
Afghanistan,AFG,2000,446526,5752624,3627406,5671943,4044487
Afghanistan,AFG,2001,449857,5780767,3640085,5771499,4046425
Afghanistan,AFG,2002,480666,6153673,3877631,6207434,4280854
Afghanistan,AFG,2003,519462,6626361,4185481,6739429,4574403
Afghanistan,AFG,2004,540944,6886253,4367945,7053043,4705370
Afghanistan,AFG,2005,561318,7169601,4568546,7316354,4795376
Afghanistan,AFG,2006,585796,7516821,4814597,7613251,4912481
Afghanistan,AFG,2007,597262,7538304,4894993,7874200,4998547
Afghanistan,AFG,2008,612487,7597252,5032812,8132165,5052487
Afghanistan,AFG,2009,639529,7904295,5335185,8399665,5106637
Afghanistan,AFG,2010,663427,8126750,5595298,8641297,5162901
Afghanistan,AFG,2011,694342,8499728,5938169,8889601,5227315
Afghanistan,AFG,2012,728754,8968337,6318384,9142490,5308519
Afghanistan,AFG,2013,758028,9364615,6635960,9349582,5433032
Afghanistan,AFG,2014,788192,9829990,6972825,9531742,5593466
Afghanistan,AFG,2015,812050,10233436,7251576,9708575,5747862
Afghanistan,AFG,2016,830922,10565917,7472635,9872101,5894636
Afghanistan,AFG,2017,855378,10980503,7725721,10053080,6028737
Afghanistan,AFG,2018,883086,11425808,7975800,10254738,6147355
Afghanistan,AFG,2019,913175,11905732,8221968,10466230,6262390
Afghanistan,AFG,2020,941944,12466593,8490775,10697827,6375097
Afghanistan,AFG,2021,964016,12995277,8727158,10922455,6490554
Africa (UN),,1950,7549251,82140590,43346156,55446696,39066572
Africa (UN),,1951,7658046,83933260,44161280,56728900,40002510
Africa (UN),,1952,7773357,85766840,44966456,58111656,40967748
Africa (UN),,1953,7898368,87623896,45730776,59539464,42044940
Africa (UN),,1954,8032300,89501490,46457870,60994576,43258536
Africa (UN),,1955,8174744,91410264,47182564,62594250,44485910
Africa (UN),,1956,8323681,93339670,47926910,64355892,45685228
Africa (UN),,1957,8474892,95282610,48699264,66192260,46866200
Africa (UN),,1958,8631516,97195760,49488316,68095790,48018170
Africa (UN),,1959,8805691,99147640,50404124,70056250,49234480
Africa (UN),,1960,8998490,101188410,51530224,72027656,50543076
Africa (UN),,1961,9222242,103276320,52784056,73981280,51913656
Africa (UN),,1962,9474664,105423880,54116040,75960104,53359370
Africa (UN),,1963,9733161,107611630,55473720,78072610,54864104
Africa (UN),,1964,9996412,109846060,56851804,80362940,56408480
Africa (UN),,1965,10263922,112124900,58336470,82753780,57967916
Africa (UN),,1966,10525438,114431200,59954756,85234610,59512044
Africa (UN),,1967,10782782,116797550,61685910,87835464,61057890
Africa (UN),,1968,11050772,119271576,63517460,90503810,62636396
Africa (UN),,1969,11327273,121855910,65399916,93227920,64259224
Africa (UN),,1970,11608257,124579300,67289790,96026390,65946372
Africa (UN),,1971,11894030,127424740,69176904,98884270,67705920
Africa (UN),,1972,12186900,130338890,71094900,101784970,69524750
Africa (UN),,1973,12496617,133363620,73195410,104746460,71409920
Africa (UN),,1974,12824236,136522300,75547870,107792010,73382424
Africa (UN),,1975,13182643,139887490,77983730,110965330,75537440
Africa (UN),,1976,13585026,143411140,80445380,114302420,77828990
Africa (UN),,1977,13986065,146971400,83018530,117628690,80096744
Africa (UN),,1978,14391399,150837020,85746424,121007304,82480530
Africa (UN),,1979,14822763,154994770,88554320,124580370,85023670
Africa (UN),,1980,15229060,159167600,91396590,128259920,87489600
Africa (UN),,1981,15634561,163504160,94323760,132153304,90039560
Africa (UN),,1982,16077356,168091660,97360264,136237380,92773560
Africa (UN),,1983,16513387,172676380,100413720,140329550,95401980
Africa (UN),,1984,16955702,177281980,103512110,144517970,97915020
Africa (UN),,1985,17439494,182060140,106791610,148896540,100464840
Africa (UN),,1986,17945918,187139580,110086860,153460510,103013550
Africa (UN),,1987,18484770,192517630,113315890,158219070,105542340
Africa (UN),,1988,19026612,197949060,116601250,163067440,107866870
Africa (UN),,1989,19566584,203625860,119919760,167988350,110067070
Africa (UN),,1990,20131410,209589740,123228710,172962450,112244910
Africa (UN),,1991,20710526,215613620,126528670,177958690,114228990
Africa (UN),,1992,21294412,221652050,129909070,182949330,116126690
Africa (UN),,1993,21876232,227732220,133534000,187908600,118088900
Africa (UN),,1994,22443498,234080980,137498770,192477500,119987530
Africa (UN),,1995,23017604,240717060,141766430,196812100,122018480
Africa (UN),,1996,23668536,247322380,146183100,201299550,124291180
Africa (UN),,1997,24373542,253984960,150710220,205680430,126475290
Africa (UN),,1998,25038962,261037800,155395660,209844420,128591200
Africa (UN),,1999,25674212,268438750,160214200,213870860,130901304
Africa (UN),,2000,26331216,276098900,165109460,217940880,133471610
Africa (UN),,2001,27007024,284063300,170058060,222092740,136242750
Africa (UN),,2002,27698908,292379600,175007890,226228530,139296560
Africa (UN),,2003,28390908,301101760,179859900,230389220,142607470
Africa (UN),,2004,29082068,310298620,184544220,234770130,146086290
Africa (UN),,2005,29790576,319924500,188972720,239491460,149718850
Africa (UN),,2006,30524380,329935500,193209120,244553900,153517380
Africa (UN),,2007,31291032,340363600,197399970,249934900,157471980
Africa (UN),,2008,32091242,351157540,201517950,255602000,161612560
Africa (UN),,2009,32949508,362283040,205538740,261592800,165836220
Africa (UN),,2010,33900360,373737470,209562300,267984480,170048780
Africa (UN),,2011,34944132,385272830,213501710,274772320,174184820
Africa (UN),,2012,36061064,397042880,217425860,282053060,178214400
Africa (UN),,2013,37209748,409394600,221608600,289880830,182086820
Africa (UN),,2014,38375224,422114880,226072580,297966900,185769460
Africa (UN),,2015,39619096,435075400,230922500,306197950,189293000
Africa (UN),,2016,40972680,447982200,236038450,314563100,192555140
Africa (UN),,2017,42420260,460973440,241416940,322917950,195605150
Africa (UN),,2018,43958980,474340160,247195550,331170900,198599410
Africa (UN),,2019,45566652,487927400,253363740,339280830,201562530
Africa (UN),,2020,47073532,501843800,260032540,347239260,204488060
Africa (UN),,2021,48363104,515889920,267091980,354882100,207449340
Albania,ALB,1950,75713,457961,229929,301246,187738
Albania,ALB,1951,78848,469167,238732,306815,195613
Albania,ALB,1952,81817,481298,247373,312144,204325
Albania,ALB,1953,84459,494373,255900,317778,214237
Albania,ALB,1954,86658,508309,264387,324432,225225
Albania,ALB,1955,88350,522986,272791,333017,236588
Albania,ALB,1956,89546,538235,281051,343698,248095
Albania,ALB,1957,90415,554062,289006,356255,259837
Albania,ALB,1958,91269,570454,296578,371095,271590
Albania,ALB,1959,92381,587345,303714,388345,283237
Albania,ALB,1960,93932,604705,310305,407817,294430
Albania,ALB,1961,96004,622487,316497,429262,304826
Albania,ALB,1962,98378,640851,322571,452322,314112
Albania,ALB,1963,100799,659928,329116,476725,321734
Albania,ALB,1964,103077,679793,336835,502037,327278
Albania,ALB,1965,104962,700380,346500,527268,330683
Albania,ALB,1966,106377,721489,358261,552049,332518
Albania,ALB,1967,107489,742831,371901,576154,334072
Albania,ALB,1968,108557,764140,387957,598499,336321
Albania,ALB,1969,109838,785252,406708,618434,339565
Albania,ALB,1970,111524,806122,428055,635410,343622
Albania,ALB,1971,113686,826874,451648,649345,348267
Albania,ALB,1972,116328,847892,476871,661008,353082
Albania,ALB,1973,119398,869781,503259,670674,357330
Albania,ALB,1974,122767,893185,530153,678324,361028
Albania,ALB,1975,126310,918664,556421,683892,364841
Albania,ALB,1976,129845,945960,581678,687616,368465
Albania,ALB,1977,133274,974637,605567,690367,370953
Albania,ALB,1978,136536,1005086,626954,692510,372231
Albania,ALB,1979,139577,1037531,644971,694235,372450
Albania,ALB,1980,142781,1072030,658826,696135,371878
Albania,ALB,1981,146279,1108328,668393,697867,371524
Albania,ALB,1982,150004,1145758,674406,698298,372722
Albania,ALB,1983,154128,1183908,677129,697139,375600
Albania,ALB,1984,158750,1222181,676597,694636,379567
Albania,ALB,1985,163748,1259527,673062,691571,383819
Albania,ALB,1986,168935,1295129,667042,688718,387305
Albania,ALB,1987,174190,1328103,659298,686582,389504
Albania,ALB,1988,179372,1357599,650159,685428,390461
Albania,ALB,1989,184310,1382993,639905,685094,389885
Albania,ALB,1990,189073,1403736,629273,685293,387698
Albania,ALB,1991,193907,1420134,618435,685820,383791
Albania,ALB,1992,199030,1433020,606850,686939,377899
Albania,ALB,1993,204473,1442910,594738,688331,370263
Albania,ALB,1994,210215,1449984,582864,689149,361789
Albania,ALB,1995,216237,1454291,572060,688749,353033
Albania,ALB,1996,222429,1456322,562918,686124,343543
Albania,ALB,1997,228682,1456181,555740,680913,332205
Albania,ALB,1998,235040,1454471,550541,673233,318900
Albania,ALB,1999,241714,1451700,547249,663332,304270
Albania,ALB,2000,248903,1447671,545359,651618,288476
Albania,ALB,2001,256877,1442765,544215,637563,272195
Albania,ALB,2002,265757,1437020,543833,620655,256289
Albania,ALB,2003,275275,1430990,543825,601309,241594
Albania,ALB,2004,285088,1425481,544019,580144,227897
Albania,ALB,2005,294771,1420999,544422,557572,214872
Albania,ALB,2006,303963,1418240,544139,533956,203093
Albania,ALB,2007,312987,1417516,543218,509793,192575
Albania,ALB,2008,321793,1418998,541492,485976,183431
Albania,ALB,2009,330137,1422731,538860,462573,176252
Albania,ALB,2010,338380,1428050,535783,439889,171300
Albania,ALB,2011,347008,1434986,531377,418685,168604
Albania,ALB,2012,356346,1443337,525172,399581,167755
Albania,ALB,2013,366474,1452416,517082,383176,167871
Albania,ALB,2014,377764,1462304,507245,368655,168132
Albania,ALB,2015,390100,1473157,495573,356034,167618
Albania,ALB,2016,402525,1484617,481271,347008,165643
Albania,ALB,2017,414664,1496452,465994,340245,162006
Albania,ALB,2018,427248,1507915,450372,334807,156677
Albania,ALB,2019,441159,1517906,433393,330958,150467
Albania,ALB,2020,453597,1524674,416365,327068,145146
Albania,ALB,2021,463442,1527360,399113,323402,141393
Algeria,DZA,1950,314699,3266840,1774548,2191906,1471873
Algeria,DZA,1951,319751,3337641,1814551,2222528,1577270
Algeria,DZA,1952,326341,3408788,1849428,2256094,1681052
Algeria,DZA,1953,333569,3480584,1879607,2295056,1782870
Algeria,DZA,1954,339245,3545466,1902287,2347931,1876619
Algeria,DZA,1955,343293,3602367,1918253,2436598,1941786
Algeria,DZA,1956,345841,3658851,1929933,2554162,1984380
Algeria,DZA,1957,346470,3714259,1939207,2676438,2026885
Algeria,DZA,1958,347184,3765859,1949505,2801920,2069320
Algeria,DZA,1959,350797,3810457,1962152,2930620,2110425
Algeria,DZA,1960,357746,3846012,1978904,3062046,2149601
Algeria,DZA,1961,378660,3876588,1993307,3162115,2187945
Algeria,DZA,1962,412479,3904059,2001084,3227489,2233154
Algeria,DZA,1963,444622,3932742,2011125,3287473,2293487
Algeria,DZA,1964,471682,3970234,2031280,3342137,2363764
Algeria,DZA,1965,493388,4010432,2061586,3399703,2416153
Algeria,DZA,1966,501493,4052097,2120753,3498495,2440560
Algeria,DZA,1967,498055,4099829,2213209,3633404,2452624
Algeria,DZA,1968,494328,4151914,2319542,3765781,2459414
Algeria,DZA,1969,490053,4206720,2434046,3890770,2469433
Algeria,DZA,1970,485559,4262005,2551353,3999971,2497027
Algeria,DZA,1971,481552,4319967,2669870,4095563,2543317
Algeria,DZA,1972,478598,4385691,2789592,4189313,2596556
Algeria,DZA,1973,476684,4463067,2910721,4282280,2653721
Algeria,DZA,1974,475802,4554899,3034946,4372399,2715555
Algeria,DZA,1975,494180,4727153,3143946,4500855,2858564
Algeria,DZA,1976,536646,4973965,3227441,4704070,3058394
Algeria,DZA,1977,564038,5172660,3328555,4900567,3168375
Algeria,DZA,1978,571121,5332973,3460128,5054424,3213999
Algeria,DZA,1979,578970,5514193,3598432,5206672,3268714
Algeria,DZA,1980,588252,5713668,3740797,5358583,3338078
Algeria,DZA,1981,599315,5931459,3886820,5502845,3430916
Algeria,DZA,1982,612595,6167843,4037264,5639271,3543124
Algeria,DZA,1983,628347,6422262,4193021,5780210,3658270
Algeria,DZA,1984,646711,6694608,4354845,5931018,3766351
Algeria,DZA,1985,667927,6985787,4522536,6096901,3859759
Algeria,DZA,1986,691743,7293670,4692328,6276680,3928139
Algeria,DZA,1987,716181,7594804,4848151,6461814,3965147
Algeria,DZA,1988,741340,7889931,4990416,6648710,3972628
Algeria,DZA,1989,767605,8197836,5132074,6835541,3956460
Algeria,DZA,1990,794224,8514956,5274525,7018777,3915591
Algeria,DZA,1991,821968,8839992,5410387,7196746,3864814
Algeria,DZA,1992,850770,9171972,5538956,7361451,3825153
Algeria,DZA,1993,880212,9510545,5672415,7498845,3792309
Algeria,DZA,1994,909970,9853970,5814814,7602522,3755730
Algeria,DZA,1995,939900,10204700,5972204,7662919,3698301
Algeria,DZA,1996,1011423,10545020,6182685,7667164,3578347
Algeria,DZA,1997,1129535,10867460,6442007,7615628,3421401
Algeria,DZA,1998,1213932,11218911,6668309,7544395,3279118
Algeria,DZA,1999,1259683,11613037,6853857,7468437,3151073
Algeria,DZA,2000,1305967,12025771,7029621,7366737,3046528
Algeria,DZA,2001,1352755,12450711,7186586,7239412,2971521
Algeria,DZA,2002,1399441,12888290,7318035,7093840,2925094
Algeria,DZA,2003,1445213,13342721,7417267,6921035,2929646
Algeria,DZA,2004,1489929,13818868,7482552,6733097,2985738
Algeria,DZA,2005,1533101,14297177,7502094,6556545,3067772
Algeria,DZA,2006,1574740,14795325,7491725,6396404,3176888
Algeria,DZA,2007,1614920,15328823,7467723,6254885,3317484
Algeria,DZA,2008,1653021,15874178,7419524,6142192,3480675
Algeria,DZA,2009,1691561,16428946,7348538,6071494,3655502
Algeria,DZA,2010,1732074,16986632,7251547,6051293,3834801
Algeria,DZA,2011,1776199,17538348,7128769,6087866,4012365
Algeria,DZA,2012,1826913,18075966,6987202,6182724,4187762
Algeria,DZA,2013,1887655,18594372,6818205,6351061,4349334
Algeria,DZA,2014,1962592,19090104,6633448,6582113,4491911
Algeria,DZA,2015,2052587,19560708,6461066,6845362,4623426
Algeria,DZA,2016,2153970,20006912,6304417,7133967,4740063
Algeria,DZA,2017,2262312,20430718,6164044,7449846,4829627
Algeria,DZA,2018,2377431,20831888,6052352,7774388,4890948
Algeria,DZA,2019,2500418,21209136,5982387,8091421,4922011
Algeria,DZA,2020,2614694,21554976,5965332,8402270,4914397
Algeria,DZA,2021,2731079,21871300,6007613,8697129,4870841
American Samoa,ASM,1950,453,5953,3826,5269,3556
American Samoa,ASM,1951,464,6072,3876,5393,3642
American Samoa,ASM,1952,479,6095,3855,5488,3670
American Samoa,ASM,1953,490,6102,3837,5587,3679
American Samoa,ASM,1954,508,6106,3817,5675,3677
American Samoa,ASM,1955,519,6100,3808,5759,3669
American Samoa,ASM,1956,532,6070,3796,5842,3682
American Samoa,ASM,1957,535,6064,3746,5934,3686
American Samoa,ASM,1958,527,6051,3677,6015,3672
American Samoa,ASM,1959,527,5994,3643,6070,3670
American Samoa,ASM,1960,533,6018,3719,6123,3714
American Samoa,ASM,1961,539,6182,3913,6209,3810
American Samoa,ASM,1962,531,6402,4108,6325,3924
American Samoa,ASM,1963,534,6644,4272,6475,4044
American Samoa,ASM,1964,548,6902,4407,6653,4172
American Samoa,ASM,1965,563,7168,4528,6855,4300
American Samoa,ASM,1966,581,7427,4651,7070,4418
American Samoa,ASM,1967,607,7667,4780,7293,4517
American Samoa,ASM,1968,636,7914,4937,7533,4611
American Samoa,ASM,1969,660,8153,5126,7787,4691
American Samoa,ASM,1970,679,8421,5295,7968,4735
American Samoa,ASM,1971,694,8731,5392,8047,4754
American Samoa,ASM,1972,709,9068,5436,8103,4767
American Samoa,ASM,1973,727,9419,5458,8173,4776
American Samoa,ASM,1974,746,9749,5503,8260,4782
American Samoa,ASM,1975,765,10005,5670,8364,4792
American Samoa,ASM,1976,792,10215,5934,8462,4819
American Samoa,ASM,1977,823,10443,6204,8514,4854
American Samoa,ASM,1978,862,10677,6475,8539,4896
American Samoa,ASM,1979,901,10945,6725,8554,4946
American Samoa,ASM,1980,934,11300,6997,8646,5031
American Samoa,ASM,1981,977,11773,7307,8841,5182
American Samoa,ASM,1982,1035,12300,7618,9054,5381
American Samoa,ASM,1983,1093,12873,7919,9256,5614
American Samoa,ASM,1984,1154,13499,8204,9460,5876
American Samoa,ASM,1985,1214,14165,8466,9679,6164
American Samoa,ASM,1986,1267,14875,8703,9932,6463
American Samoa,ASM,1987,1321,15618,8919,10232,6769
American Samoa,ASM,1988,1390,16394,9117,10573,7090
American Samoa,ASM,1989,1461,17184,9292,10955,7418
American Samoa,ASM,1990,1528,17919,9378,11305,7711
American Samoa,ASM,1991,1581,18538,9378,11585,7934
American Samoa,ASM,1992,1636,19124,9358,11849,8129
American Samoa,ASM,1993,1685,19714,9345,12131,8320
American Samoa,ASM,1994,1729,20284,9357,12444,8497
American Samoa,ASM,1995,1759,20844,9386,12796,8636
American Samoa,ASM,1996,1777,21392,9430,13198,8726
American Samoa,ASM,1997,1790,21935,9486,13639,8745
American Samoa,ASM,1998,1800,22471,9550,14131,8674
American Samoa,ASM,1999,1816,22976,9625,14650,8550
American Samoa,ASM,2000,1856,23349,9663,15040,8343
American Samoa,ASM,2001,1920,23559,9617,15200,8046
American Samoa,ASM,2002,1985,23713,9548,15200,7754
American Samoa,ASM,2003,2051,23826,9486,15091,7508
American Samoa,ASM,2004,2113,23914,9451,14887,7288
American Samoa,ASM,2005,2151,23968,9478,14600,7080
American Samoa,ASM,2006,2179,23989,9564,14222,6903
American Samoa,ASM,2007,2201,23959,9697,13778,6767
American Samoa,ASM,2008,2208,23858,9865,13307,6671
American Samoa,ASM,2009,2202,23677,10026,12869,6612
American Samoa,ASM,2010,2224,23480,10199,12466,6502
American Samoa,ASM,2011,2278,23308,10351,12083,6314
American Samoa,ASM,2012,2335,23129,10405,11741,6108
American Samoa,ASM,2013,2398,22961,10352,11427,5879
American Samoa,ASM,2014,2472,22826,10187,11126,5623
American Samoa,ASM,2015,2550,22753,9905,10801,5382
American Samoa,ASM,2016,2633,22731,9519,10431,5154
American Samoa,ASM,2017,2723,22735,9059,10040,4929
American Samoa,ASM,2018,2809,22757,8551,9632,4696
American Samoa,ASM,2019,2897,22731,8039,9214,4460
American Samoa,ASM,2020,2989,22632,7567,8793,4235
American Samoa,ASM,2021,3088,22433,7141,8365,4029
Andorra,AND,1950,604,3042,989,886,507
Andorra,AND,1951,599,2979,919,866,485
Andorra,AND,1952,584,2828,791,825,447
Andorra,AND,1953,589,2763,742,812,429
Andorra,AND,1954,595,2869,812,857,457
Andorra,AND,1955,602,3108,947,956,526
Andorra,AND,1956,609,3379,1077,1063,602
Andorra,AND,1957,614,3678,1200,1172,689
Andorra,AND,1958,621,4013,1313,1281,792
Andorra,AND,1959,631,4374,1418,1398,902
Andorra,AND,1960,653,4756,1521,1532,1011
Andorra,AND,1961,665,5162,1612,1685,1114
Andorra,AND,1962,673,5596,1691,1860,1217
Andorra,AND,1963,681,6053,1764,2053,1314
Andorra,AND,1964,696,6526,1837,2259,1400
Andorra,AND,1965,719,7002,1924,2464,1476
Andorra,AND,1966,755,7461,2076,2723,1554
Andorra,AND,1967,808,7891,2350,3075,1644
Andorra,AND,1968,875,8318,2719,3450,1741
Andorra,AND,1969,953,8771,3130,3768,1849
Andorra,AND,1970,1032,9282,3572,4025,1974
Andorra,AND,1971,1118,9838,4038,4231,2121
Andorra,AND,1972,1207,10451,4514,4397,2286
Andorra,AND,1973,1307,11128,4992,4527,2459
Andorra,AND,1974,1419,11874,5456,4644,2632
Andorra,AND,1975,1548,12689,5881,4757,2789
Andorra,AND,1976,1685,13583,6240,4894,2912
Andorra,AND,1977,1833,14564,6524,5072,2978
Andorra,AND,1978,1997,15616,6720,5301,2963
Andorra,AND,1979,2184,16746,6823,5569,2845
Andorra,AND,1980,2390,17949,6846,5851,2603
Andorra,AND,1981,2598,19199,6830,6113,2268
Andorra,AND,1982,2797,20406,6915,6314,2185
Andorra,AND,1983,2992,21576,7085,6449,2354
Andorra,AND,1984,3207,22805,7212,6542,2436
Andorra,AND,1985,3440,24089,7302,6636,2367
Andorra,AND,1986,3701,25330,7506,6723,2365
Andorra,AND,1987,3998,26541,7834,6754,2532
Andorra,AND,1988,4334,27800,8124,6742,2680
Andorra,AND,1989,4702,29110,8344,6742,2763
Andorra,AND,1990,5088,30491,8479,6779,2753
Andorra,AND,1991,5424,31784,8686,6758,2803
Andorra,AND,1992,5709,33007,8961,6659,2969
Andorra,AND,1993,6023,34328,9115,6589,3122
Andorra,AND,1994,6360,35761,9119,6568,3249
Andorra,AND,1995,6715,37302,8986,6609,3332
Andorra,AND,1996,7081,38372,8704,6616,3393
Andorra,AND,1997,7435,38904,8335,6579,3449
Andorra,AND,1998,7777,39387,7981,6585,3474
Andorra,AND,1999,8103,39838,7645,6619,3470
Andorra,AND,2000,8413,40263,7338,6667,3435
Andorra,AND,2001,8662,41325,7512,6809,3533
Andorra,AND,2002,8848,43137,8064,7057,3762
Andorra,AND,2003,9054,45149,8451,7345,3930
Andorra,AND,2004,9264,47342,8665,7689,3990
Andorra,AND,2005,9458,49675,8730,8081,3901
Andorra,AND,2006,9405,50181,8543,8266,3846
Andorra,AND,2007,9072,48814,8212,8191,3898
Andorra,AND,2008,8680,47430,7952,8069,3942
Andorra,AND,2009,8246,46022,7723,7956,3932
Andorra,AND,2010,7752,44592,7523,7886,3789
Andorra,AND,2011,7633,43960,7392,7881,3721
Andorra,AND,2012,7945,44043,7387,7874,3786
Andorra,AND,2013,8304,44044,7435,7859,3743
Andorra,AND,2014,8677,44058,7487,7831,3591
Andorra,AND,2015,9041,44064,7534,7774,3353
Andorra,AND,2016,9389,44459,7704,7815,3196
Andorra,AND,2017,9743,45285,7972,7889,2964
Andorra,AND,2018,10144,46153,8161,7897,2679
Andorra,AND,2019,10576,47015,8328,7857,2585
Andorra,AND,2020,11041,47855,8464,7814,2549
Andorra,AND,2021,11499,48651,8570,7797,2540
Angola,AGO,1950,131262,1683265,872553,1069119,721987
Angola,AGO,1951,133641,1723129,885534,1086907,740533
Angola,AGO,1952,135836,1763430,898619,1105378,760705
Angola,AGO,1953,138113,1801803,911611,1121505,785689
Angola,AGO,1954,140876,1835368,923859,1133109,817245
Angola,AGO,1955,144158,1863533,934786,1146700,848944
Angola,AGO,1956,147867,1887127,944144,1164910,878063
Angola,AGO,1957,152043,1907721,951592,1185515,907463
Angola,AGO,1958,156496,1926358,957179,1209486,936324
Angola,AGO,1959,160888,1945599,960996,1237871,964600
Angola,AGO,1960,165011,1965772,963716,1270390,992312
Angola,AGO,1961,168373,1985773,962187,1307834,1017161
Angola,AGO,1962,171039,2004800,957186,1349437,1038943
Angola,AGO,1963,173451,2020472,952557,1393364,1059987
Angola,AGO,1964,175481,2029909,947997,1439693,1080128
Angola,AGO,1965,176952,2030322,949460,1480871,1098983
Angola,AGO,1966,177728,2020858,958297,1514200,1115973
Angola,AGO,1967,177811,2003870,970839,1543783,1131199
Angola,AGO,1968,177502,1985568,987211,1572146,1145774
Angola,AGO,1969,177372,1976602,1007570,1605459,1161384
Angola,AGO,1970,178038,1987692,1028602,1654999,1180371
Angola,AGO,1971,179747,2021432,1057122,1716738,1202014
Angola,AGO,1972,182242,2075106,1102247,1779003,1226138
Angola,AGO,1973,184987,2138498,1159382,1840470,1254900
Angola,AGO,1974,187689,2201771,1224179,1900077,1288779
Angola,AGO,1975,190131,2268241,1289710,1957213,1327433
Angola,AGO,1976,192249,2339043,1353304,2011155,1371037
Angola,AGO,1977,194296,2415243,1419084,2063758,1419517
Angola,AGO,1978,196459,2499141,1486265,2118142,1471588
Angola,AGO,1979,198845,2588978,1552979,2175665,1526756
Angola,AGO,1980,201494,2686302,1619639,2237051,1585567
Angola,AGO,1981,204472,2790249,1685360,2302874,1648506
Angola,AGO,1982,207885,2900128,1749437,2373820,1715884
Angola,AGO,1983,211426,3015906,1812005,2450414,1786953
Angola,AGO,1984,215116,3135618,1871813,2533287,1861875
Angola,AGO,1985,219368,3258455,1928084,2623498,1941226
