Entity,Code,Year,Annual CO₂ emissions
Africa,,1989,697796860
Africa,,1990,658281400
Africa,,1991,687829100
Africa,,1992,666901500
Africa,,1993,706661500
Africa,,1994,790281400
Africa,,1995,844556600
Africa,,1996,872320830
Africa,,1997,893989200
Africa,,1998,912442100
Africa,,1999,899677440
Africa,,2000,930042600
Africa,,2001,919542850
Africa,,2002,899274200
Africa,,2003,988565440
Africa,,2004,1044866750
Africa,,2005,1063180000
Africa,,2006,1092165900
Africa,,2007,1122721400
Africa,,2008,1175619600
Africa,,2009,1173163400
Africa,,2010,1215373700
Africa,,2011,1255083900
Africa,,2012,1255851500
Africa,,2013,1265469700
Africa,,2014,1344915500
Africa,,2015,1319787300
Africa,,2016,1355493500
Africa,,2017,1369709700
Africa,,2018,1357075100
Africa,,2019,1457568100
Africa,,2020,1356435700
Africa,,2021,1435214100
Africa,,2022,1416626600
Africa (GCP),,1850,0
Africa (GCP),,1851,0
Africa (GCP),,1852,0
Africa (GCP),,1853,0
Africa (GCP),,1854,0
Africa (GCP),,1855,0
Africa (GCP),,1856,0
Africa (GCP),,1857,0
Africa (GCP),,1858,0
Africa (GCP),,1859,0
Africa (GCP),,1860,0
Africa (GCP),,1861,0
Africa (GCP),,1862,0
Africa (GCP),,1863,0
Africa (GCP),,1864,0
Africa (GCP),,1865,0
Africa (GCP),,1866,0
Africa (GCP),,1867,0
Africa (GCP),,1868,0
Africa (GCP),,1869,0
Africa (GCP),,1870,0
Africa (GCP),,1871,0
Africa (GCP),,1872,0
Africa (GCP),,1873,0
Africa (GCP),,1874,0
Africa (GCP),,1875,0
Africa (GCP),,1876,0
Africa (GCP),,1877,0
Africa (GCP),,1878,0
Africa (GCP),,1879,0
Africa (GCP),,1880,0
Africa (GCP),,1881,0
Africa (GCP),,1882,0
Africa (GCP),,1883,0
Africa (GCP),,1884,21984
Africa (GCP),,1885,36640
Africa (GCP),,1886,47632
Africa (GCP),,1887,47632
Africa (GCP),,1888,80608
Africa (GCP),,1889,131904
Africa (GCP),,1890,296784
Africa (GCP),,1891,296784
Africa (GCP),,1892,479984
Africa (GCP),,1893,1799024
Africa (GCP),,1894,2432896
Africa (GCP),,1895,3337904
Africa (GCP),,1896,4257568
Africa (GCP),,1897,4777856
Africa (GCP),,1898,6049264
Africa (GCP),,1899,5517984
Africa (GCP),,1900,2330304
Africa (GCP),,1901,3909488
Africa (GCP),,1902,5825760
Africa (GCP),,1903,7895920
Africa (GCP),,1904,8910848
Africa (GCP),,1905,10262864
Africa (GCP),,1906,11717472
Africa (GCP),,1907,12930256
Africa (GCP),,1908,13402912
Africa (GCP),,1909,15385136
Africa (GCP),,1910,17411328
Africa (GCP),,1911,16865392
Africa (GCP),,1912,17953600
Africa (GCP),,1913,19606064
Africa (GCP),,1914,19551104
Africa (GCP),,1915,19606064
Africa (GCP),,1916,23255408
Africa (GCP),,1917,25343888
Africa (GCP),,1918,24724672
Africa (GCP),,1919,25442816
Africa (GCP),,1920,28051584
Africa (GCP),,1921,27985632
Africa (GCP),,1922,23969888
Africa (GCP),,1923,29044528
Africa (GCP),,1924,30631038
Africa (GCP),,1925,32184578
Africa (GCP),,1926,34437936
Africa (GCP),,1927,33840704
Africa (GCP),,1928,34770316
Africa (GCP),,1929,35801620
Africa (GCP),,1930,33695670
Africa (GCP),,1931,29463714
Africa (GCP),,1932,26622752
Africa (GCP),,1933,28491130
Africa (GCP),,1934,32539280
Africa (GCP),,1935,35909540
Africa (GCP),,1936,39015956
Africa (GCP),,1937,41844264
Africa (GCP),,1938,44013164
Africa (GCP),,1939,46852930
Africa (GCP),,1940,49649188
Africa (GCP),,1941,54023460
Africa (GCP),,1942,58822890
Africa (GCP),,1943,60119628
Africa (GCP),,1944,66632910
Africa (GCP),,1945,67527180
Africa (GCP),,1946,68159360
Africa (GCP),,1947,67934744
Africa (GCP),,1948,71733140
Africa (GCP),,1949,77323530
Africa (GCP),,1950,94868000
Africa (GCP),,1951,101125280
Africa (GCP),,1952,110325220
Africa (GCP),,1953,112007010
Africa (GCP),,1954,117536136
Africa (GCP),,1955,129402490
Africa (GCP),,1956,135106240
Africa (GCP),,1957,141593120
Africa (GCP),,1958,148670910
Africa (GCP),,1959,147841220
Africa (GCP),,1960,156567180
Africa (GCP),,1961,161994320
Africa (GCP),,1962,166334880
Africa (GCP),,1963,176334850
Africa (GCP),,1964,193639310
Africa (GCP),,1965,213634370
Africa (GCP),,1966,221082060
Africa (GCP),,1967,237045170
Africa (GCP),,1968,257380400
Africa (GCP),,1969,277916000
Africa (GCP),,1970,302623900
Africa (GCP),,1971,331861400
Africa (GCP),,1972,351871100
Africa (GCP),,1973,378003330
Africa (GCP),,1974,388389600
Africa (GCP),,1975,387265150
Africa (GCP),,1976,420141060
Africa (GCP),,1977,433115100
Africa (GCP),,1978,462487040
Africa (GCP),,1979,499060700
Africa (GCP),,1980,535678370
Africa (GCP),,1981,548563300
Africa (GCP),,1982,571723500
Africa (GCP),,1983,594557300
Africa (GCP),,1984,649321340
Africa (GCP),,1985,665682750
Africa (GCP),,1986,689694460
Africa (GCP),,1987,689699650
Africa (GCP),,1988,724689500
Africa (GCP),,1989,697789500
Africa (GCP),,1990,658274100
Africa (GCP),,1991,687821800
Africa (GCP),,1992,666894140
Africa (GCP),,1993,706650500
Africa (GCP),,1994,790270400
Africa (GCP),,1995,844545600
Africa (GCP),,1996,872309900
Africa (GCP),,1997,893978200
Africa (GCP),,1998,912431170
Africa (GCP),,1999,899666500
Africa (GCP),,2000,930031600
Africa (GCP),,2001,919531900
Africa (GCP),,2002,899263200
Africa (GCP),,2003,988554430
Africa (GCP),,2004,1044855700
Africa (GCP),,2005,1063169100
Africa (GCP),,2006,1092154900
Africa (GCP),,2007,1122710400
Africa (GCP),,2008,1175608600
Africa (GCP),,2009,1173152500
Africa (GCP),,2010,1215362700
Africa (GCP),,2011,1255072900
Africa (GCP),,2012,1255840500
Africa (GCP),,2013,1265458700
Africa (GCP),,2014,1344904400
Africa (GCP),,2015,1319776300
Africa (GCP),,2016,1355478800
Africa (GCP),,2017,1369698800
Africa (GCP),,2018,1357064100
Africa (GCP),,2019,1457553400
Africa (GCP),,2020,1356417400
Africa (GCP),,2021,1435196400
Africa (GCP),,2022,1416608800
Albania,ALB,1933,7328
Albania,ALB,1934,7328
Albania,ALB,1935,18320
Albania,ALB,1936,128209.99
Albania,ALB,1937,296725
Albania,ALB,1938,348080
Albania,ALB,1939,432352
Albania,ALB,1940,692496
Albania,ALB,1941,626485
Albania,ALB,1942,743792
Albania,ALB,1943,461664
Albania,ALB,1944,153888
Albania,ALB,1945,120912
Albania,ALB,1946,483648
Albania,ALB,1947,926992
Albania,ALB,1948,703488
Albania,ALB,1949,1014928
Albania,ALB,1950,296725
Albania,ALB,1951,402981
Albania,ALB,1952,373669
Albania,ALB,1953,413973
Albania,ALB,1954,501909.03
Albania,ALB,1955,663006
Albania,ALB,1956,838789
Albania,ALB,1957,1505607
Albania,ALB,1958,1201465
Albania,ALB,1959,1443319
Albania,ALB,1960,2022231.1
Albania,ALB,1961,2278533
Albania,ALB,1962,2461733
Albania,ALB,1963,2080617
Albania,ALB,1964,2014694.9
Albania,ALB,1965,2172159
Albania,ALB,1966,2549579
Albania,ALB,1967,2677493
Albania,ALB,1968,3069214
Albania,ALB,1969,3241303
Albania,ALB,1970,3739486
Albania,ALB,1971,4348023
Albania,ALB,1972,5637977
Albania,ALB,1973,5286406
Albania,ALB,1974,4341512
Albania,ALB,1975,4591172
Albania,ALB,1976,4947198
Albania,ALB,1977,5717343
Albania,ALB,1978,6491245
Albania,ALB,1979,7583971
Albania,ALB,1980,5170837
Albania,ALB,1981,7339622
Albania,ALB,1982,7307607
Albania,ALB,1983,7630809
Albania,ALB,1984,7825903
Albania,ALB,1985,7881540
Albania,ALB,1986,8058077
Albania,ALB,1987,7447081
Albania,ALB,1988,7329222
Albania,ALB,1989,8986169
Albania,ALB,1990,5520602
Albania,ALB,1991,4290226
Albania,ALB,1992,2517116
Albania,ALB,1993,2337999
Albania,ALB,1994,1923806
Albania,ALB,1995,2089065.1
Albania,ALB,1996,2017508
Albania,ALB,1997,1543009
Albania,ALB,1998,1754709
Albania,ALB,1999,2986196
Albania,ALB,2000,3024926
Albania,ALB,2001,3220656
Albania,ALB,2002,3748272
Albania,ALB,2003,4303499
Albania,ALB,2004,4176684
Albania,ALB,2005,4261413
Albania,ALB,2006,3910715
Albania,ALB,2007,3948970
Albania,ALB,2008,4397043
Albania,ALB,2009,4406552
Albania,ALB,2010,4783865
Albania,ALB,2011,5314676
Albania,ALB,2012,4850060
Albania,ALB,2013,5287465
Albania,ALB,2014,5999650
Albania,ALB,2015,4712144
Albania,ALB,2016,4631979
Albania,ALB,2017,5293048
Albania,ALB,2018,4894953
Albania,ALB,2019,4826944
Albania,ALB,2020,5018921
Albania,ALB,2021,4903652
Albania,ALB,2022,4954730
Algeria,DZA,1916,3664
Algeria,DZA,1917,7328
Algeria,DZA,1918,18320
Algeria,DZA,1919,18320
Algeria,DZA,1920,21984
Algeria,DZA,1921,25648
Algeria,DZA,1922,25648
Algeria,DZA,1923,14656
Algeria,DZA,1924,29312
Algeria,DZA,1925,32976
Algeria,DZA,1926,40304
Algeria,DZA,1927,58624
Algeria,DZA,1928,73072
Algeria,DZA,1929,80381
Algeria,DZA,1930,84005
Algeria,DZA,1931,98619
Algeria,DZA,1932,113227
Algeria,DZA,1933,120615
Algeria,DZA,1934,138846
Algeria,DZA,1935,131644
Algeria,DZA,1936,51029
Algeria,DZA,1937,69349
Algeria,DZA,1938,32976
Algeria,DZA,1939,161216
Algeria,DZA,1940,238160
Algeria,DZA,1941,311440
Algeria,DZA,1942,498304
Algeria,DZA,1943,468665
Algeria,DZA,1944,497921
Algeria,DZA,1945,615136
Algeria,DZA,1946,761639
Algeria,DZA,1947,743287
Algeria,DZA,1948,801884
Algeria,DZA,1949,908165
Algeria,DZA,1950,3783605
Algeria,DZA,1951,4131178.8
Algeria,DZA,1952,3889207
Algeria,DZA,1953,3999006
Algeria,DZA,1954,4152301.8
Algeria,DZA,1955,4606578
Algeria,DZA,1956,4995053
Algeria,DZA,1957,5537086
Algeria,DZA,1958,5214119
Algeria,DZA,1959,5657017
Algeria,DZA,1960,6151241
Algeria,DZA,1961,6055920
Algeria,DZA,1962,5661010
Algeria,DZA,1963,5419154
Algeria,DZA,1964,5643044
Algeria,DZA,1965,6588533
Algeria,DZA,1966,8420862
Algeria,DZA,1967,8431587
Algeria,DZA,1968,9050236
Algeria,DZA,1969,11262968
Algeria,DZA,1970,15058960
Algeria,DZA,1971,18649530
Algeria,DZA,1972,28322640
Algeria,DZA,1973,38277400
Algeria,DZA,1974,31876660
Algeria,DZA,1975,32001206
Algeria,DZA,1976,39131068
Algeria,DZA,1977,41844910
Algeria,DZA,1978,62455264
Algeria,DZA,1979,45545550
Algeria,DZA,1980,66416464
Algeria,DZA,1981,46341984
Algeria,DZA,1982,39173030
Algeria,DZA,1983,52503910
Algeria,DZA,1984,70946536
Algeria,DZA,1985,72609070
Algeria,DZA,1986,76080390
Algeria,DZA,1987,83883496
Algeria,DZA,1988,83708040
Algeria,DZA,1989,79808264
Algeria,DZA,1990,76737624
Algeria,DZA,1991,78806830
Algeria,DZA,1992,79883310
Algeria,DZA,1993,81943970
Algeria,DZA,1994,88608390
Algeria,DZA,1995,96776920
Algeria,DZA,1996,100039430
Algeria,DZA,1997,88369416
Algeria,DZA,1998,106536560
Algeria,DZA,1999,91449100
Algeria,DZA,2000,85398600
Algeria,DZA,2001,86839250
Algeria,DZA,2002,90692380
Algeria,DZA,2003,94580616
Algeria,DZA,2004,91714220
Algeria,DZA,2005,110992510
Algeria,DZA,2006,105896180
Algeria,DZA,2007,109889440
Algeria,DZA,2008,111087410
Algeria,DZA,2009,118856330
Algeria,DZA,2010,118353256
Algeria,DZA,2011,125094570
Algeria,DZA,2012,135674290
Algeria,DZA,2013,140786380
Algeria,DZA,2014,151282780
Algeria,DZA,2015,160087460
Algeria,DZA,2016,158481630
Algeria,DZA,2017,165089600
Algeria,DZA,2018,171276020
Algeria,DZA,2019,178577220
Algeria,DZA,2020,169892770
Algeria,DZA,2021,180225200
Algeria,DZA,2022,176345140
Andorra,AND,1750,0
Andorra,AND,1751,0
Andorra,AND,1752,0
Andorra,AND,1753,0
Andorra,AND,1754,0
Andorra,AND,1755,0
Andorra,AND,1756,0
Andorra,AND,1757,0
Andorra,AND,1758,0
Andorra,AND,1759,0
Andorra,AND,1760,0
Andorra,AND,1761,0
Andorra,AND,1762,0
Andorra,AND,1763,0
Andorra,AND,1764,0
Andorra,AND,1765,0
Andorra,AND,1766,0
Andorra,AND,1767,0
Andorra,AND,1768,0
Andorra,AND,1769,0
Andorra,AND,1770,0
Andorra,AND,1771,0
Andorra,AND,1772,0
Andorra,AND,1773,0
Andorra,AND,1774,0
Andorra,AND,1775,0
Andorra,AND,1776,0
Andorra,AND,1777,0
Andorra,AND,1778,0
Andorra,AND,1779,0
Andorra,AND,1780,0
Andorra,AND,1781,0
Andorra,AND,1782,0
Andorra,AND,1783,0
Andorra,AND,1784,0
Andorra,AND,1785,0
Andorra,AND,1786,0
Andorra,AND,1787,0
Andorra,AND,1788,0
Andorra,AND,1789,0
Andorra,AND,1790,0
Andorra,AND,1791,0
Andorra,AND,1792,0
Andorra,AND,1793,0
Andorra,AND,1794,0
Andorra,AND,1795,0
Andorra,AND,1796,0
Andorra,AND,1797,0
Andorra,AND,1798,0
Andorra,AND,1799,0
Andorra,AND,1800,0
Andorra,AND,1801,0
Andorra,AND,1802,0
Andorra,AND,1803,0
Andorra,AND,1804,0
Andorra,AND,1805,0
Andorra,AND,1806,0
Andorra,AND,1807,0
Andorra,AND,1808,0
Andorra,AND,1809,0
Andorra,AND,1810,0
Andorra,AND,1811,0
Andorra,AND,1812,0
Andorra,AND,1813,0
Andorra,AND,1814,0
Andorra,AND,1815,0
Andorra,AND,1816,0
Andorra,AND,1817,0
Andorra,AND,1818,0
Andorra,AND,1819,0
Andorra,AND,1820,0
Andorra,AND,1821,0
Andorra,AND,1822,0
Andorra,AND,1823,0
Andorra,AND,1824,0
Andorra,AND,1825,0
Andorra,AND,1826,0
Andorra,AND,1827,0
Andorra,AND,1828,0
Andorra,AND,1829,0
Andorra,AND,1830,0
Andorra,AND,1831,0
Andorra,AND,1832,0
Andorra,AND,1833,0
Andorra,AND,1834,0
Andorra,AND,1835,0
Andorra,AND,1836,0
Andorra,AND,1837,0
Andorra,AND,1838,0
Andorra,AND,1839,0
Andorra,AND,1840,0
Andorra,AND,1841,0
Andorra,AND,1842,0
Andorra,AND,1843,0
Andorra,AND,1844,0
Andorra,AND,1845,0
Andorra,AND,1846,0
Andorra,AND,1847,0
Andorra,AND,1848,0
Andorra,AND,1849,0
Andorra,AND,1850,0
Andorra,AND,1851,0
Andorra,AND,1852,0
Andorra,AND,1853,0
Andorra,AND,1854,0
Andorra,AND,1855,0
Andorra,AND,1856,0
Andorra,AND,1857,0
Andorra,AND,1858,0
Andorra,AND,1859,0
Andorra,AND,1860,0
Andorra,AND,1861,0
Andorra,AND,1862,0
Andorra,AND,1863,0
Andorra,AND,1864,0
Andorra,AND,1865,0
Andorra,AND,1866,0
Andorra,AND,1867,0
Andorra,AND,1868,0
Andorra,AND,1869,0
Andorra,AND,1870,0
Andorra,AND,1871,0
Andorra,AND,1872,0
Andorra,AND,1873,0
Andorra,AND,1874,0
Andorra,AND,1875,0
Andorra,AND,1876,0
Andorra,AND,1877,0
Andorra,AND,1878,0
Andorra,AND,1879,0
Andorra,AND,1880,0
Andorra,AND,1881,0
Andorra,AND,1882,0
Andorra,AND,1883,0
Andorra,AND,1884,0
Andorra,AND,1885,0
Andorra,AND,1886,0
Andorra,AND,1887,0
Andorra,AND,1888,0
Andorra,AND,1889,0
Andorra,AND,1890,0
Andorra,AND,1891,0
Andorra,AND,1892,0
Andorra,AND,1893,0
Andorra,AND,1894,0
Andorra,AND,1895,0
Andorra,AND,1896,0
Andorra,AND,1897,0
Andorra,AND,1898,0
Andorra,AND,1899,0
Andorra,AND,1900,0
Andorra,AND,1901,0
Andorra,AND,1902,0
Andorra,AND,1903,0
Andorra,AND,1904,0
Andorra,AND,1905,0
Andorra,AND,1906,0
Andorra,AND,1907,0
Andorra,AND,1908,0
Andorra,AND,1909,0
Andorra,AND,1910,0
Andorra,AND,1911,0
Andorra,AND,1912,0
Andorra,AND,1913,0
Andorra,AND,1914,0
Andorra,AND,1915,0
Andorra,AND,1916,0
Andorra,AND,1917,0
Andorra,AND,1918,0
Andorra,AND,1919,0
Andorra,AND,1920,0
Andorra,AND,1921,0
Andorra,AND,1922,0
Andorra,AND,1923,0
Andorra,AND,1924,0
Andorra,AND,1925,0
Andorra,AND,1926,0
Andorra,AND,1927,0
Andorra,AND,1928,0
Andorra,AND,1929,0
Andorra,AND,1930,0
Andorra,AND,1931,0
Andorra,AND,1932,0
Andorra,AND,1933,0
Andorra,AND,1934,0
Andorra,AND,1935,0
Andorra,AND,1936,0
Andorra,AND,1937,0
Andorra,AND,1938,0
Andorra,AND,1939,0
Andorra,AND,1940,0
Andorra,AND,1941,0
Andorra,AND,1942,0
Andorra,AND,1943,0
Andorra,AND,1944,0
Andorra,AND,1945,0
Andorra,AND,1946,0
Andorra,AND,1947,0
Andorra,AND,1948,0
Andorra,AND,1949,0
Andorra,AND,1950,0
Andorra,AND,1951,0
Andorra,AND,1952,0
Andorra,AND,1953,0
Andorra,AND,1954,0
Andorra,AND,1955,0
Andorra,AND,1956,0
Andorra,AND,1957,0
Andorra,AND,1958,0
Andorra,AND,1959,0
Andorra,AND,1960,0
Andorra,AND,1961,0
Andorra,AND,1962,0
Andorra,AND,1963,0
Andorra,AND,1964,0
Andorra,AND,1965,0
Andorra,AND,1966,0
Andorra,AND,1967,0
Andorra,AND,1968,0
Andorra,AND,1969,0
Andorra,AND,1970,0
Andorra,AND,1971,0
Andorra,AND,1972,0
Andorra,AND,1973,0
Andorra,AND,1974,0
Andorra,AND,1975,0
Andorra,AND,1976,0
Andorra,AND,1977,0
Andorra,AND,1978,0
Andorra,AND,1979,0
Andorra,AND,1980,0
Andorra,AND,1981,0
Andorra,AND,1982,0
Andorra,AND,1983,0
Andorra,AND,1984,0
Andorra,AND,1985,0
Andorra,AND,1986,0
Andorra,AND,1987,0
Andorra,AND,1988,0
Andorra,AND,1989,0
Andorra,AND,1990,406704
Andorra,AND,1991,406704
Andorra,AND,1992,406704
Andorra,AND,1993,410368
Andorra,AND,1994,406704
Andorra,AND,1995,425024
Andorra,AND,1996,454336
Andorra,AND,1997,465328
Andorra,AND,1998,490976
Andorra,AND,1999,512960.03
Andorra,AND,2000,523952
Andorra,AND,2001,523952
Andorra,AND,2002,531280
Andorra,AND,2003,534944
Andorra,AND,2004,560592
Andorra,AND,2005,575248
Andorra,AND,2006,545936
Andorra,AND,2007,538608
Andorra,AND,2008,538608
Andorra,AND,2009,516623.97
Andorra,AND,2010,516623.97
Andorra,AND,2011,490976
Andorra,AND,2012,487312
Andorra,AND,2013,476320
Andorra,AND,2014,461664
Andorra,AND,2015,465328
Andorra,AND,2016,468992
Andorra,AND,2017,465328
Andorra,AND,2018,494640
Andorra,AND,2019,483648
Andorra,AND,2020,373728
Andorra,AND,2021,363046
Andorra,AND,2022,368645
Angola,AGO,1950,186864
Angola,AGO,1951,249152
Angola,AGO,1952,311440
Angola,AGO,1953,274681
Angola,AGO,1954,347904
Angola,AGO,1955,413735
Angola,AGO,1956,501611
Angola,AGO,1957,618681
Angola,AGO,1958,592885
Angola,AGO,1959,618592
Angola,AGO,1960,548951
Angola,AGO,1961,453707
Angola,AGO,1962,1179127
Angola,AGO,1963,1149723
Angola,AGO,1964,1222914
Angola,AGO,1965,1186155
Angola,AGO,1966,1552466
Angola,AGO,1967,991815
Angola,AGO,1968,1669539
Angola,AGO,1969,2783093
